游泳||170000000,240000000,520000000,340000000,300000000,440000000
集锦||250000000,450000000
举重||410000000,420000000,480000000,510000000,590000000
花样游泳||10000000
开幕式||30000000,40000000,80000000,50000000,70000000,60000000,100000000,110000000
气手枪||180000000
花剑||390000000,500000000
射箭||350000000,400000000,490000000
气步枪||150000000,560000000
体操||230000000,580000000,330000000
跳水||370000000
男篮||220000000,280000000,290000000
特别节目||30000000,40000000,50000000,60000000
重剑||190000000,200000000
飞碟||360000000,570000000
女排||140000000,160000000,550000000,260000000
